タイトル	著者	出版社	価格	出版年月日
灰色のダイエットコカコーラ	佐藤友哉	講談社	1890	2007-05-31
ルポ 貧困大国アメリカ	堤 未果	岩波新書	735	2008-01-01
図書館ねこデューイ : 町を幸せにしたトラねこの物語	ヴィッキー・マイロン著,羽田詩津子訳	早川書房	1524	2008-11-01
ラブ・ダイアリー―恋についての365問	PARCO出版	PARCO出版	1470	2002-02-14
悪魔のパス 天使のゴール	村上龍	幻冬舎	680	2004-01-01
麻雀放浪記. 1(青春篇)	阿佐田哲也	文藝春秋	629	2007-10-01
バターサンドの夜	河合二湖	講談社	1365	2009-09-07
楽しいruby 第2版	高橋征義,後藤裕蔵	ソフトバンク　クリエイティブ株式会社	2730	2006-08-10
読むだけですっきりわかる日本史	後藤　武士	宝島社	500	2008-06-03
なぜ阪神は勝てないのか? ――タイガース再建への提言	岡田彰布,江夏豊	角川書店	740	2009-09-10
陽気なギャングが地球を回す	伊坂幸太郎	祥伝社	660	2006-02-01
ネットワークはなぜつながるのか 第2版 知っておきたいTCP/IP、LAN、光ファイバの基礎知識	戸根 勤	日経BP社	2520	2003-06-02
フルトヴェングラー 音と言葉	フルトヴェングラー,芦津 丈夫	白水社	3780	2005-01-24
容疑者xの献身	東野　圭吾	文藝春秋	660	2008-08-05
テスト・スタンダード―日本のテストの将来に向けて	日本テスト学会	金子書房	4200	2007-09-01
東京ディズニーリゾート便利帖 ポケットガイド	堀井 憲一郎	新潮社	380	2008-04-01
おしいれのぼうけん	ふるたたるひ,たばたせいいち	童心社	1365	1980-01-01
高野聖・眉かくしの霊	泉 鏡花	岩波書店	483	1992-08-01
デンデラ	佐藤友哉	新潮社	1785	2009-06-30
極北クレイマー	海堂尊	朝日新聞出版	1680	2009-04-07
ピンチランナー調書	大江健三郎	新潮社	590	1982-03-01
オーデュボンの祈り	伊坂幸太郎	新潮文庫	660	2003-11-01
音楽の基礎	芥川也寸志	岩波書店	735	1971-08-01
基礎からのMySQL	西沢 夢路	ソフトバンククリエイティブ	3129	2007-12-26
ウォーターボーイズ	矢口史靖	角川文庫	460	2001-08-01
奪取〈上〉	真保 裕一	講談社	750	1999-05-01
ハサミ男	殊能将之	文芸雑誌	733	1999-01-01
砂糖菓子の弾丸は撃ちぬけない―A Lollypop or A Bullet	桜庭一樹	富士見書房	1470	2007-03-01
すぐわかるラグビー―ルールと試合	上田昭夫	成美堂出版	1155	2003-11-01
子供たち怒る怒る怒る	佐藤友哉	新潮社	540	2008-05-01
管理者になったとき困らない 実践的ソフトウェア開発工程管理	竹山 寛	技術評論社	2394	2000-09-21
制服のころ、君に恋した。	折原みと	講談社	520	2009-09-15
チルドレン	伊坂幸太郎	新潮文庫	980	2008-08-01
王家の紋章　１	細川智栄子あんど芙～みん	秋田書店	410	1977-01-01
基礎ドイツ文法　第二版	小島一良,瀬戸武彦	白水社	2100	2007-03-10
魔法少女リリカルなのはStrikerS The Comics (1) (コミック)	都築 真紀 (著), 長谷川 光司 (イラスト)	学習研究社	580	2007-05-01
フェルマーの最終定理	サイモン シン, 青木薫	新潮社	820	2006-05-01
ねこ鍋 : みちのく猫ものがたり	奥森すがり	二見書房	1200	2007-10-25
ぐんぐんうまくなる!ラグビー	清宮 克幸	ベースボール・マガジン社	1260	2008-11-01
阪神タイガースファン名言珍言集	猛虎魂会	中経出版	1000	2008-09-27
@ベイビーメール	山田悠介	文芸社	1050	2003-04-01
岳物語	椎名誠	集英社	450	1989-09-01
スティーブ・ジョブズ 偉大なるクリエイティブ・ディレクターの軌跡	林 信行	アスキー	2625	2007-12-17
ひかりの剣	海堂尊	文藝春秋	1680	2008-08-10
STUDY ALICE TEXT―小林賢太郎戯曲集	小林賢太郎	幻冬舎	1500	2009-03-01
嘘つきみーくんと壊れたまーちゃん―幸せの背景は不幸	入間 人間	メディアワークス	578	2007-06-01
博士の愛した数式	小川　洋子	新潮文庫	460	2005-12-01
辺境・近境	村上春樹	新潮社	1470	1998-04-01
ラグビー ゲーム&プレー	遠藤 隆夫	ナツメ社	1365	2009-07-10
赤い指	東野圭吾	講談社	1575	2009-08-12
The Last Lecture	Randy Pausch	Hyperion	1680	2008-04-08
TOEICテスト 新・最強トリプル模試	中村紳一郎,Susan Anderton,神崎正哉,小林美和	ジャパンタイムズ	1890	2006-05-05
範馬刃牙	板垣恵介	4/7/2006	420	2009-09-14
村上龍 : 「危機」に抗する想像力	黒古一夫	勉誠出版	2200	2009-09-14
自己プロデュース力	島田紳助	ヨシモトブックス ／ワニブックス	880	2009-09-01
虎バン 阪神タイガースはなぜ強いのか	「虎バン」書籍制作委員会,内匠宏幸	出版文化社	1400	2008-09-27
レイアウト (ベーシックデザイン・シリーズ)	ギャヴィン アンブローズ (著), ポール ハリス (著), Gavin Ambrose (原著), Paul Harris (原著), 大塚 典子 (翻訳)	グラフィック社	2730	2006-08-01
バクマン。 第１巻	大場 つぐみ (著), 小畑 健 (イラスト)	集英社	420	2009-01-15
顔のない刑事	太田 蘭三	角川グループパブリッシング	740	2009-03-25
あひるの空	日向武史	講談社	420	2004-05-17
RINGO FILE 1998‐2008	椎名林檎	ロッキングオン	2625	2009-03-01
音づくりに生きる―ロボットと名人芸の結晶「ダイヤトーン」開発物語	米山 義男,後藤 慶一	ダイヤモンド社	1800	1986-12-04
ARIA 1巻	天野こずえ	マッグガーデン	580	2009-09-14
スイッチを押すとき	山田悠介	文芸社	1155	2005-08-15
星の王子さま	サン＝テグジュベリ	集英社文庫	400	2005-08-26
TOEICテスト新公式問題集〈Vol.4〉	Educational Testing Service	(財)国際ビジネスコミュニケーション協会 TOEIC運営委員会	2940	2009-09-10
θは遊んでくれたよ	森博嗣	NoData	945	2005-05-07
Rubens Barrichello: In the Spirit of Senna And the Shadow of Schumacher	Johnny Herbert (はしがき), David Tremayne (著)	Haynes Pub Group	3380	2005-11-10
ハヤテのごとく! 第1巻	畑健二郎	小学館	410	2009-09-14
あそこの席	山田悠介	文芸社	1155	2003-11-01
幸運の25セント硬貨	Stephen King , 浅倉 久志	新潮社	740	2004-05-01
スカイ・クロラ	森博嗣	中央公論新社	1995	2001-06-01
星守る犬	村上たかし	双葉社	800	2009-07-01
ナ・バ・テア	森博嗣	中央公論新社	1890	2004-06-01
パラドックス13	東野　圭吾	毎日新聞社	1785	2009-04-15
イギリス山	佐藤　洋二郎	集英社	1785	2000-04-05
クロスファイア	宮部みゆき	光文社文庫	620	2002-09-10
ダウン・ツ・ヘヴン	森博嗣	中央公論新社	1890	2005-06-01
左右の安全	アーサー・ビナード	集英社	1575	2007-10-05
楽隊のうさぎ	中沢けい	新潮文庫	540	2003-01-01
ひろしま	石内　都	集英社	1890	2009-09-14
ブルータワー	石田衣良	徳間書店	1785	2004-09-16
よんでますよ、アザゼルさん。 3	久保 保久	講談社	570	2009-04-23
よんでますよ、アザゼルさん。 1	久保保久	講談社	560	2008-04-23
よんでますよ、アザゼルさん。 2	久保 保久	講談社	560	2008-10-23
リアル鬼ごっこ	山田悠介	文芸社	1050	2001-12-15
ブレイブストーリー	宮部みゆき	角川書店	1890	2003-03-05
バトル・ロワイアル	高見広春	太田出版	1554	1999-04-01
ホワイトアウト	真保裕一	新潮社	820	1998-08-01
勤しめ!仁岡先生 第１巻	尾高純一	ガンガンコミックス	500	2006-10-21
All You Need Is Kill	桜坂 洋	集英社・スーパーダッシュ文庫	600	2004-12-01
よくわかる現代魔法	桜坂 洋	集英社・スーパーダッシュ文庫	670	2003-12-25
やさしいC++ 第3版	高橋 麻奈	ソフトバンククリエイティブ	2730	2007-08-30
基本情報技術者 2009年度版	日高 哲郎	翔泳社	1995	2008-11-13
TOEIC TEST英単語スピードマスター	成重 寿	Jリサーチ出版	1470	2004-04-01
やさしいXML	高橋麻奈	ソフトバンククリエイティブ	2730	2005-03-01
ONE PIECE　　55	尾田　栄一郎	集英社	420	2009-09-04
ソラニン	浅野いにお	小学館	530	2005-12-05
ネシャン・サーガ〔コンパクト版〕1　ヨナタンと伝説の杖	ラルフ・イーザウ, 酒寄進一,佐竹美保	あすなろ書房	840	2003-12-01
海辺のカフカ（上）	村上春樹	新潮社	740	2005-03-01
扉は閉ざされたまま	石持浅海	詳伝社	880	2005-05-16
ハリーポッターと死の秘宝	J.K.ローリング	静山社	3990	2008-07-23
今夜は眠れない	宮部みゆき	角川書店	540	2002-05-24
アヒルと鴨のコインロッカー	伊坂　幸太郎	東京創元社	880	2006-12-21
1Q84 BOOK 1	村上春樹	新潮社	1890	2009-05-30
カラマーゾフの兄弟（上）	ドストエフスキー	新潮社	819	2008-07-25
小悪魔流。	蝶々	小学館	1418	2008-10-15
たったひとつの冴えたやりかた	ジェイムズ・ティプトリー・ジュニア, 浅倉 久志	早川書房	819	1987-10-01
聖☆おにいさん 1	中村光	講談社	580	2008-01-23
天元突破グレンラガン ニア写真集	ポストメディア編集部	一迅社	1890	2008-06-27
RANKA マクロスF ランカ・リーオフィシャルブック	ランカ・リー	太田出版	1680	2009-11-19
実践イラスト版 スローセックス完全マニュアルII ふたりタッチ編	アダム徳永	講談社	1875	2009-10-28
空の境界（上）	奈須きのこ	講談社	620	2007-11-15
きらきらひかる	江國香織	新潮社	420	1991-03-15
バカの壁	養老 孟司	新潮社	714	2003-04-10
空の境界（中）	奈須きのこ	講談社	800	2007-12-14
空の境界（下）	奈須きのこ	講談社	800	2008-01-16
やさしいJava活用編 第3版	高橋麻奈	ソフトバンククリエイティブ	2730	2009-09-01
京都の寺社505を歩く<上>	槇野 修	PHP研究所	966	2007-06-16
ゴールデンスランバー	伊坂幸太郎	新潮社	1680	2007-11-29
やさしいJava 第4版	高橋麻奈	ソフトバンククリエイティブ	2730	2009-09-01
オーデュボンの祈り	伊坂幸太郎	新潮社	660	2000-12-01
重力ピエロ	伊坂幸太郎	新潮社	1575	2003-04-22
3月のライオン（１）	羽海野チカ	白泉社	467	2008-03-05
図説 歴史で読み解く京都の地理	正井　泰夫	青春出版社	1000	2003-10-15
蹴りたい背中	綿矢 りさ	河出書房新社	1050	2003-08-01
ボッコちゃん	星新一	新潮社	500	1971-05-27
レベルE（１）	冨樫義博	集英社	410	1996-03-04
ジョジョの奇妙な冒険 1	荒木 飛呂彦	集英社	410	1987-08-10
機動戦士ガンダム 逆襲のシャア—ベルトーチカ・チルドレン	富野 由悠季	角川書店	660	1988-02-01
神様のボート	江国香織	新潮社	1400	1999-07-15
図解 「化学」は図にするだけで面白い	東京理科大学化学ブレイン	青春出版社	1000	2006-06-15
やさしいオブジェクト指向	高橋麻奈	ソフトバンククリエイティブ	2730	2006-12-27
キングダム(1)	原泰久	集英社	530	2006-05-19
海底二万里 (創元SF文庫)	ジュール・ヴェルヌ	東京創元社	987	1977-04-22
天ぷらにソースをかけますか？	野瀬泰申	新潮社	620	2009-01-01
データベースシステム	北川博之	昭晃堂	3360	1996-07-01
２年Ａ組探偵局　奥の細道失踪事件	宗田理	角川文庫	504	1993-08-01
伝える力	池上彰	PHPビジネス新書	840	2007-04-19
メディアと異界−遠くにあるもの	仲田誠	砂書房	1995	2008-06-01
悪人	吉田修一	朝日新聞出版	567	2009-11-06
数学ガール	結城浩	ソフトバンククリエイティブ(株)	1890	2007-06-27
はてしない物語	ミヒャエル・エンデ	岩波書店	3003	1982-06-07
ネコソギラジカル上	西尾維新	講談社	900	2009-02-13
タイム・マシン 他九篇 (岩波文庫)	H.G. ウエルズ	岩波書店	735	1991-05-01
恋愛写真 -もう１つの物語	市川拓司	小学館	1365	2003-06-01
プログラミング言語 Ruby	まつもと ゆきひろ, David Flanagan	オライリージャパン	3990	2009-01-26
零崎人識の人間関係 零崎双識との関係	西尾維新	講談社	998	2009-03-25
もし高校野球の女子マネージャーがドラッカーの『マネジメント』を読んだら	岩崎 夏海	ダイヤモンド社	1680	2009-12-04
2010年宇宙の旅	アーサー・C・クラーク	早川書房	903	2009-11-30
乙女はお姉さまに恋してる 櫻の園のエトワール	嵩夜 あや	エンターブレイン	672	2007-12-25
四畳半神話体系	森見登美彦	角川書店	580	2008-03-25
重機人間ユンボル	武井宏之	集英社	490	2007-05-02
Ruby逆引きハンドブック	るびきち	シーアンドアール研究所	3990	2009-05-25
ミミズクと夜の王	紅玉 いづき	メディアワークス	557	2007-02-10
やさしい文章術　レポート・論文の書き方	樋口裕一	中央公論新社	756	2002-12-01
３月30日	千原ジュニア	講談社	1470	2008-03-30
クレムリン	カレー沢薫	講談社	560	2010-06-23
ながいながいペンギンの話	いぬいとみこ	理論社	1260	1999-01-01
向日葵の咲かない夏	道尾秀介	新潮社	660	2008-08-21
ジウ—警視庁特殊犯捜査係	誉田哲也	中央公論新社	1050	2005-12-01
きらきらひかる	江國香織	新潮社	420	1994-05-30
千里眼 完全版—クラシックシリーズ	松岡 圭祐	角川書店	660	2007-09-25
太陽の塔	森見登美彦	新潮社	420	2010-09-13
ヨハン・クライフ「美しく勝利せよ」	Frits Barend	二見書房	1680	1999-12-01
マビノギオン—中世ウェールズ幻想物語集	中野 節子	JULA出版局	3675	2000-03-01
現代アート、超入門!	藤田 令伊	集英社	756	2009-03-17
星野道夫と見た風景	星野道夫	新潮社	1365	2005-01-15
疾走（上）	重松清	角川文庫	660	2005-05-25
Rubyによるデザイン・パターン	Russ Olsen, ラス・オルセン	ピアソンエデュケーション	3990	2009-04-24
人はなぜ新興宗教に魅かれるのか？	井上順孝	三笠書房	1680	2009-04-01
デラックス世界地図帳	谷治正孝	昭文社	21000	2006-03-01
隠蔽捜査	今野 敏	新潮社	620	2005-09-21
ディーふらぐ！(3)	春野友矢	メディアファクトリー	550	2010-07-23
ドロヘドロ(14)	林田　球	小学館	900	2010-01-29
恋するプログラム―Rubyでつくる人工無脳	秋山智俊	毎日コミュニケーションズ	2625	2005-04-01
HUNTER×HUNTER 27	冨樫 義博	集英社	420	2006-03-03
壬生義士伝(上)	浅田次郎	文藝春秋	1600	2004-04-30
疾走（下）	重松清	角川文庫	620	2010-05-25
たのしいXML—図解とイラストでみるみるわかる!	屋内 恭輔	ソーテック社	2400	2001-05-01
